location,category,tweet,location.1,latitude,longitude,datetime,multimodal,file_path,Disaster_Category,Relevancy,Priority,media_description,summary,responders_required
Altadena/Pasadena,Request for Emergency Help,"URGENT: Wildfire rapidly approaching residential areas near the Eaton Canyon Golf Course in Altadena/Pasadena. Evacuation orders are in effect. Please heed warnings and evacuate immediately. Resources are stretched thin, but we're doing everything we can. #Wildfire #Emergency #LosAngeles",Altadena/Pasadena,34.191837468924874,-118.16743901006376,2025-01-30 21:22:35.290141,False,,Fire,True,2,,"Wildfire is rapidly approaching residential areas near Eaton Canyon Golf Course in Altadena/Pasadena, evacuation orders are in effect and resources are stretched thin.","['firefighters', 'police', 'ambulance']"
Acton,Request for Emergency Help,Huge flames near the 14 freeway in Acton! Looks like it's spreading towards Soledad Canyon Rd! People are trying to evacuate but its chaos. Anyone know if they need help with animals? #Wildfire #Acton #Emergency Please send help!,Acton,34.46498743376153,-118.1611582169334,2025-01-09 10:17:49.796947,False,,Fire,True,2,,"Wildfire spreading rapidly near 14 freeway and Soledad Canyon Rd in Acton, causing evacuations and requiring immediate assistance from responders.","['firefighters', 'police', 'ambulance']"
Pacific Palisades,Incident Report,"Oh my god, there's a HUGE fire near Temescal Canyon Park in Pacific Palisades! 😥 The smoke is getting so thick, can barely see! Seems to be moving fast towards the houses on the ridge! Hope everyone is evacuating! #Wildfire #PacificPalisades #Emergency",Pacific Palisades,34.04833552588705,-118.50476385775552,2025-02-18 01:19:45.107915,False,,Fire,True,2,,"Large wildfire reported near Temescal Canyon Park, Pacific Palisades, with thick smoke moving towards houses, potentially requiring evacuations.","['firefighters', 'police', 'ambulance']"
Acton,Evacuation Warning,"Acton residents near Red Rock Canyon, PLEASE be ready to evacuate! 😭 The smoke is getting so thick, and I'm so worried about my kids. Heard the fire jumped Soledad Canyon Rd. Everyone stay safe! 🙏 #ActonFire #Wildfire #EvacuationWarning #LosAngeles",Acton,34.44209871578188,-118.12027857268696,2025-01-09 01:38:26.909424,False,,Fire,True,2,,"Wildfire reported near Red Rock Canyon in Acton with thick smoke and fire jumping Soledad Canyon Rd, evacuation readiness urged for residents.","['firefighters', 'police', 'ambulance']"
Pacific Palisades,Evacuation Warning,ARE YOU KIDDING ME?! Another fire in Pacific Palisades?! 😡 This is what happens when you let corporations run wild! Now we're getting evacuation warnings near Sunset Blvd and Temescal Canyon Rd! They're gonna burn us all out! #Wildfire #Emergency #PacificPalisades #ClimateChangeIsReal,Pacific Palisades,34.07022438833253,-118.5517681889458,2025-01-26 03:11:53.869100,False,,Fire,True,3,,Wildfire in Pacific Palisades causing evacuation warnings near Sunset Blvd and Temescal Canyon Rd.,"['firefighters', 'police', 'ambulance']"
Altadena/Pasadena,Roadblock or Escape Issue,URGENT: Reports of heavy smoke and flames impacting access to the Windsor Avenue area in Altadena. Residents are advised to avoid the area if possible. Emergency services are stretched thin. We are working to clear evacuation routes. #Wildfire #Emergency #LosAngeles,Altadena/Pasadena,34.16540302835772,-118.09806202949864,2025-01-26 22:50:50.479234,False,,Fire,True,3,,"Wildfire reported in Altadena Windsor Avenue area, access is restricted due to heavy smoke and flames and emergency services are stretched thin.","['firefighters', 'police', 'ambulance']"
Pacific Palisades,Distress Call,"Oh god, there's a fire raging up near Temescal Canyon in Pacific Palisades! The smoke is so thick, I can barely see! Feels like its moving towards the houses on the bluffs! Someone please send help! #Wildfire #Emergency #PacificPalisades",Pacific Palisades,34.0393737280224,-118.54237445128533,2025-01-23 21:03:48.161675,False,,Fire,True,2,,"Wildfire reported near Temescal Canyon in Pacific Palisades with thick smoke moving towards houses, help is requested.","['firefighters', 'police', 'ambulance']"
Hollywood Hills near Runyon Canyon,Fire Near Key Infrastructure,"Heads up, folks! Big fire breakin' out in the Hollywood Hills near Runyon Canyon. See flames gettin' close to them cell towers up there. Could mess with service. Hope they get it under control quick. #Wildfire #Emergency Los Angeles",Hollywood Hills near Runyon Canyon,34.110463826856794,-118.330567080053,2025-01-08 22:17:52.394327,False,,Fire,True,3,,"A large fire has broken out in the Hollywood Hills near Runyon Canyon and is approaching cell towers, potentially disrupting services.","['firefighters', 'police', 'ambulance']"
Sylmar,Incident Report,Plz be safe my babies and everyone!!! 😭 #CaliforniaWildfires #PrayingForEveryone #Scared,Sylmar,34.32448881976492,-118.43781163623356,2025-01-09 19:12:14.750376,True,image_tweets/1.jpeg,Fire,True,4,,Public expresses concern regarding California wildfires.,['firefighters']
Hollywood Hills near Runyon Canyon,Incident Report,"Heard sirens all the way up here in the Hills. Now I see smoke, big time, near Runyon Canyon. Looks like it's movin' fast towards those fancy houses off Mulholland. Hope everyone's gettin' out. #Wildfire #Emergency Los Angeles",Hollywood Hills near Runyon Canyon,34.121514517765945,-118.33432923593108,2025-01-09 06:53:06.971200,False,,Fire,True,2,,"A wildfire has been reported near Runyon Canyon and is rapidly spreading towards residential areas off Mulholland, requiring immediate attention from first responders.","['firefighters', 'police', 'ambulance']"
Hollywood Hills near Runyon Canyon,Roadblock or Escape Issue,"OMG! We're trying to get to Runyon Canyon for a hike but like, all the roads near Mulholland Drive are blocked! 😭 Huge smoke clouds, think there's a fire? Anyone know what's going on? We're kinda stuck! #Wildfire #Emergency #LosAngeles",Hollywood Hills near Runyon Canyon,34.12509058039288,-118.33388403827308,2025-01-09 10:42:58.872857,False,,Fire,True,3,,"User reports road closures near Mulholland Drive and Runyon Canyon due to wildfire with large smoke clouds, potentially impacting access and requiring monitoring.","['firefighters', 'police', 'ambulance']"
North Sepulveda,Distress Call,"URGENT: We are receiving reports of a fast-moving brush fire in North Sepulveda, Los Angeles. Flames are visible near the Mulholland Drive area. Evacuations are underway. Please avoid the area and follow official instructions. Stay tuned for updates. #Wildfire #Emergency #LosAngeles",North Sepulveda,34.08489085922599,-118.4612033131046,2025-01-24 12:34:19.369058,False,,Fire,True,2,,"Fast-moving brush fire reported in North Sepulveda, Los Angeles, near Mulholland Drive, with evacuations underway, requiring immediate attention from fire fighters and police to manage the situation and ensure public safety.","['firefighters', 'police', 'ambulance']"
Pacific Palisades,Incident Report,Oh god oh god! 😭 Wildfire in Pacific Palisades near Sunset Blvd! I can see smoke from my window and I'm so worried about my kids at school nearby! Are they safe?! Someone please tell me what's happening! #Wildfire #PacificPalisades #Emergency,Pacific Palisades,34.08904425445305,-118.50675273129468,2025-01-25 04:53:14.541559,False,,Fire,True,2,,"Citizen reports wildfire with visible smoke near Sunset Blvd in Pacific Palisades, expressing concern for children in nearby schools.","['firefighters', 'police', 'ambulance']"
Altadena/Pasadena,Incident Report,"URGENT: Reports of increased fire activity near the Eaton Canyon area in Altadena. Pasadena residents, please be aware of potential smoke and ember cast. Monitor official channels for evacuation warnings. We are deploying additional resources. #Wildfire #Emergency #LosAngeles",Altadena/Pasadena,34.1825401989339,-118.08166081176014,2025-02-21 09:39:45.947934,False,,Fire,True,3,,"Increased fire activity reported in Eaton Canyon area, Altadena, posing potential smoke and ember cast risk to Pasadena residents. Additional resources are being deployed.","['firefighters', 'police']"
Pacific Palisades,Fire Near Key Infrastructure,"URGENT: Wildfire rapidly approaching the Palisades Power Station. Crews are on scene, but the situation is escalating. Potential for widespread outages if containment fails. Residents near Sunset Blvd, please be prepared for possible evacuation. #Wildfire #Emergency #PacificPalisades",Pacific Palisades,34.04263469448647,-118.54501106394602,2025-03-06 11:22:49.733854,False,,Fire,True,3,,"Wildfire rapidly approaching Palisades Power Station, situation escalating despite crews on scene, potential outages and evacuations near Sunset Blvd.","['firefighters', 'police']"
North Sepulveda,Evacuation Warning,"Oh dear, oh dear! Heard on the radio there's a wildfire near North Sepulveda... they said something about an EVACUATION WARNING for folks near the park? 😥 I hope everyone is alright! Should I pack my good china? #Wildfire #Emergency Los Angeles",North Sepulveda,34.093277972175194,-118.48332130221031,2025-01-24 06:28:08.778641,False,,Fire,True,3,,Wildfire reported near North Sepulveda with evacuation warning issued for nearby park area.,"['firefighters', 'police', 'ambulance']"
Hollywood Hills near Runyon Canyon,Distress Call,"Oh god, there's a fire in the Hollywood Hills near Runyon Canyon! I can see flames from my apartment on Mulholland Drive. It's spreading so fast! I think it's heading towards the hiking trails! Someone please send help! #Wildfire #Emergency #LosAngeles",Hollywood Hills near Runyon Canyon,34.10397513519643,-118.35719165857049,2025-01-09 07:08:34.802066,False,,Fire,True,1,,"A wildfire is reported in the Hollywood Hills near Runyon Canyon, spreading fast towards hiking trails, immediate help is requested.",['firefighters']
Acton,Incident Report,"Oh dear, there's a big fire near that big rock on Soledad Canyon Road in Acton! 😥 Seems to be moving towards the horse ranch. Hope the animals are okay! Is this a wildfire? Should I call someone? #Wildfire #Emergency I'm a bit flustered, sorry for the typos!",Acton,34.45902549325952,-118.11452658191456,2025-01-10 07:00:32.287048,False,,Fire,True,3,,"Wildfire reported near Soledad Canyon Road in Acton, moving towards a horse ranch, potentially threatening animals.","['firefighters', 'police', 'ambulance']"
Pacific Palisades,Fire Near Key Infrastructure,"Oh my gosh! 😱 I'm visiting from out of town and there's a HUGE fire near those fancy houses up in Pacific Palisades, like near the hiking trails! I think I saw it getting close to some power lines... is that bad? Should I be worried? #Wildfire #LosAngeles #Emergency 😬",Pacific Palisades,34.04385485382018,-118.55189497681928,2025-02-05 20:27:15.051257,False,,Fire,True,2,,"Wildfire reported near houses and power lines in Pacific Palisades, potentially escalating situation.","['firefighters', 'police']"
North Sepulveda,Request for Emergency Help,"Oh god oh god! There's a fire near North Sepulveda, close to the park! I can see smoke and I'm so worried about my kids at school nearby! Is anyone else seeing this?? Pls tell me they're safe! #Wildfire #Emergency #LosAngeles PLEASE HELP!",North Sepulveda,34.097702912658114,-118.45142292185712,2025-01-23 22:16:20.939582,False,,Fire,True,2,,"Citizen reports a fire near North Sepulveda close to a park, expressing concern for children in a nearby school and requesting help.","['firefighters', 'police', 'ambulance']"
West Hills,Request for Emergency Help,Huge flames near Roscoe and Valley Circle in West Hills! 😭 Looks like it's spreading towards the park! Anyone know if they're evacuating? My elderly neighbor needs help getting out! #Wildfire #Emergency #WestHills Fire is moving FAST!,West Hills,34.198932773661014,-118.64297166925256,2025-01-10 12:23:35.440379,False,,Fire,True,2,,"Large wildfire reported in West Hills near Roscoe and Valley Circle, spreading towards the park and an elderly neighbor requires evacuation assistance.","['firefighters', 'police', 'ambulance']"
West Hills,Request for Emergency Help,"Yo, West Hills is lookin' HOT in the WRONG way! 😡 Big fire near Roscoe and Valley Circle. Wind's makin' it move FAST. Saw some folks tryin' to pack up. Fire trucks NEEDED NOW! #Wildfire #Emergency Los Angeles, get your act together!",West Hills,34.193259087856,-118.61361344935224,2025-01-11 08:04:25.238681,False,,Fire,True,2,,"A wildfire is spreading rapidly in West Hills near Roscoe and Valley Circle due to wind, requiring immediate dispatch of fire trucks.","['firefighters', 'police', 'ambulance']"
North Sepulveda,Fire Near Key Infrastructure,"Oh dear, there's a HUGE fire near the big power lines up on North Sepulveda! 😱 I think it's heading towards the… uh… the place where they keep all the electricity for Los Angeles! Hope they can stop it! 🙏 #Wildfire #Emergency Is this bad? 😥",North Sepulveda,34.08404036566446,-118.47295941271172,2025-01-24 15:14:35.709345,False,,Fire,True,2,,"Large wildfire reported near power lines and a critical electricity facility in North Sepulveda, posing potential threat to infrastructure and public safety.","['firefighters', 'police', 'ambulance']"
North Sepulveda,Distress Call,"Oh god, there's a fire raging near the hills off North Sepulveda! 😭 Smoke is getting thicker, and I can see flames getting closer to the houses near Mulholland! Someone please send help! #Wildfire #Emergency #LosAngeles",North Sepulveda,34.08447118881349,-118.45333136253446,2025-01-23 22:16:09.606515,False,,Fire,True,2,,"Wildfire is raging near hills off North Sepulveda, smoke is thick, and flames are approaching houses near Mulholland, requesting immediate help.","['firefighters', 'police', 'ambulance']"
Acton,Incident Report,"Acton lookin' HOT! 🔥 Big fire near Vasquez Rocks, see the smoke from the 14. Wind's pickin' up, hope they get it under control. Heard some folks near Agua Dulce Canyon Rd evacuating. Stay safe out there! #Wildfire #Acton #Emergency",Acton,34.435009767422926,-118.22745967183616,2025-01-09 08:33:01.825484,False,,Fire,True,2,,"Large wildfire reported near Vasquez Rocks and Agua Dulce Canyon Rd, evacuations underway and wind picking up.","['firefighters', 'police', 'ambulance']"
Hollywood Hills near Runyon Canyon,Distress Call,"Oh god, there's a fire in the Hollywood Hills near Runyon Canyon! I can see flames from my apartment on Fuller Ave. It's moving fast up the hill! Someone please send help! #Wildfire #Emergency #LosAngeles",Hollywood Hills near Runyon Canyon,34.12654486459621,-118.35926300867844,2025-01-09 15:38:13.136873,False,,Fire,True,2,,"Wildfire reported in Hollywood Hills near Runyon Canyon, flames visible from Fuller Ave, fire spreading rapidly uphill, help requested.","['firefighters', 'police', 'ambulance']"
Pacific Palisades,Evacuation Warning,"Oh dear, there's a fire near those fancy houses up by Sunset Blvd in Pacific Palisades! 😥 They said something about an EVACUATION WARNING? Should I pack my good china? Is it time to go? #Wildfire #Emergency I'm so confused. Hope the roses are ok. 🙏",Pacific Palisades,34.07034092594962,-118.5226580632798,2025-02-21 15:19:36.919970,False,,Fire,True,3,,A wildfire is reported near Sunset Blvd in Pacific Palisades with an evacuation warning issued.,"['firefighters', 'police', 'ambulance']"
Pacific Palisades,Fire Near Key Infrastructure,"Oh my god, there's a HUGE fire near the cell towers by Temescal Canyon in Pacific Palisades! 😱 Looks like it's heading towards the water treatment plant! This is NOT good! #Wildfire #Emergency #LosAngeles Praying for everyone 🙏",Pacific Palisades,34.03872732386372,-118.547823347252,2025-02-18 21:44:01.727396,False,,Fire,True,2,,"Large wildfire reported near Temescal Canyon in Pacific Palisades, heading towards water treatment plant, posing a threat to infrastructure and public safety.","['firefighters', 'police', 'ambulance']"
Hollywood Hills near Runyon Canyon,Roadblock or Escape Issue,OMG! Can anyone get through Outpost Dr in the Hollywood Hills?? Fire's RIGHT THERE near Runyon Canyon and we're trying to evacuate but it's BLOCKED! 😭 So much smoke! #Wildfire #Emergency #LosAngeles HELP US!,Hollywood Hills near Runyon Canyon,34.1139687007551,-118.34407282483616,2025-01-09 00:53:56.646606,False,,Fire,True,2,,"Person is trying to evacuate from Outpost Dr in Hollywood Hills due to a wildfire near Runyon Canyon, but their evacuation route is blocked by fire and there is a lot of smoke. ","['firefighters', 'police', 'ambulance']"
Hollywood Hills near Runyon Canyon,Incident Report,"Oh god, there's a fire in the Hollywood Hills near Runyon Canyon! 😭 I can see flames from my apartment near Mulholland Drive. Seems like its spreading fast! Is anyone else seeing this?? #Wildfire #Emergency PLEASE send help!",Hollywood Hills near Runyon Canyon,34.12738354163987,-118.35776301398823,2025-01-09 12:51:20.174458,False,,Fire,True,2,,"Wildfire reported in Hollywood Hills near Runyon Canyon and Mulholland Drive, spreading fast and help is requested.","['firefighters', 'police', 'ambulance']"
Hollywood Hills near Runyon Canyon,Fire Near Key Infrastructure,"Oh my god, there's a fire raging in the Hollywood Hills near Runyon Canyon! 😭 Looks like its heading towards that cell tower on Mulholland Drive! This is NOT good! #Wildfire #Emergency #LosAngeles",Hollywood Hills near Runyon Canyon,34.12919953053104,-118.34392027779974,2025-01-09 05:50:44.413537,False,,Fire,True,2,,Report of a raging wildfire in Hollywood Hills near Runyon Canyon and Mulholland Drive.,"['firefighters', 'police', 'ambulance']"
Acton,Request for Emergency Help,"Ugh, this is NOT the vibe. 🔥 Huge flames near Vasquez Rocks in Acton! Like, seriously, is this the end of the world?? 😭 My mom's freaking out! Someone send help before my TikTok career is over! #Wildfire #Emergency #ActonFire #LosAngeles",Acton,34.48987956720691,-118.11426811566427,2025-01-11 04:05:43.904233,False,,Fire,True,2,,"A large wildfire has been reported near Vasquez Rocks in Acton, with a person expressing fear and requesting immediate assistance.",['firefighters']
North Sepulveda,Request for Emergency Help,"ARE YOU KIDDING ME?! Another fire?! This time it's near North Sepulveda, like near that stupid park they just built! 🔥😡 The smoke is choking us! Where are the damn firefighters?! We need help NOW! #Wildfire #Emergency #LosAngeles",North Sepulveda,34.096383671541346,-118.46153542292856,2025-01-24 07:10:18.338773,False,,Fire,True,1,,"User reports a wildfire near North Sepulveda, complaining of smoke and urgently requesting firefighter assistance.",['firefighters']
Hollywood Hills near Runyon Canyon,Fire Near Key Infrastructure,Oh my stars! 🌟 There's a HUGE fire up in the Hollywood Hills near Runyon Canyon! I can see it from my window on Mulholland Drive! Seems awfully close to those big power lines... hope they're okay! 🙏 Is someone taking care of this? #Wildfire #Emergency #LosAngeles I hope the animals are ok too 😥,Hollywood Hills near Runyon Canyon,34.104505167116024,-118.35311860164698,2025-01-09 01:29:59.532125,False,,Fire,True,3,,"Large wildfire reported in the Hollywood Hills near Runyon Canyon, potentially close to power lines.","['firefighters', 'police', 'ambulance']"
Hollywood Hills near Runyon Canyon,Fire Near Key Infrastructure,"OMG! 😱 I'm visiting LA and hiking near Runyon Canyon in the Hollywood Hills, and I see flames getting close to some big power lines! Is that normal?! Should I be worried? #Wildfire #Emergency #LosAngeles #TouristInTrouble",Hollywood Hills near Runyon Canyon,34.10019364120176,-118.36686226605438,2025-01-09 02:04:29.723416,False,,Fire,True,2,,"Tourist reports flames approaching power lines near Runyon Canyon, indicating a potential wildfire emergency.","['firefighters', 'police', 'ambulance']"
Acton,Fire Near Key Infrastructure,Huge flames near the Acton Metrolink station! 😱 Looks like its heading towards the power lines on Soledad Canyon Rd. Hope they can get it under control before it hits the grid! #Wildfire #Acton #Emergency #LosAngeles,Acton,34.44237467674042,-118.22091423167798,2025-01-10 05:21:12.166234,False,,Fire,True,2,,"Wildfire reported near Acton Metrolink station, spreading towards power lines on Soledad Canyon Rd.","['firefighters', 'police', 'ambulance']"
Acton,Request for Emergency Help,Oh god oh god! The fire's jumped Soledad Canyon Rd near Acton! I can see the flames from my backyard! My kids are here! We need help evacuating NOW! Is anyone else stuck near Sierra Highway?! #Wildfire #Emergency #ActonFire PLEASE SEND HELP!!!,Acton,34.45666635386983,-118.1623648210899,2025-01-11 05:38:51.444813,False,,Fire,True,1,,"Citizen reports wildfire has jumped Soledad Canyon Rd near Acton, flames visible from backyard, requesting immediate evacuation assistance for themselves and children, unsure if others are trapped near Sierra Highway.","['firefighters', 'police', 'ambulance']"
Sylmar,Roadblock or Escape Issue,ARE YOU KIDDING ME?! Another fire in Sylmar?! They're blocking off Foothill Blvd AGAIN! Can't even get home to check on my damn house! This is ridiculous! Where's the help we were promised?! #Wildfire #Sylmar #Emergency #LosAngeles,Sylmar,34.31791223299268,-118.4601085073988,2025-01-13 07:43:32.587052,False,,Fire,True,3,,"Resident reports fire in Sylmar causing Foothill Blvd closure, preventing access to homes and expresses concern about lack of promised help.","['firefighters', 'police']"
Pacific Palisades,Incident Report,ANOTHER WILDFIRE in Pacific Palisades?! Seriously?! 😡 How many times are we gonna let this happen?! Saw flames creeping up near Temescal Canyon Rd. They better get this under control NOW before it reaches those stupid mansions! #Wildfire #PacificPalisades #Emergency #ClimateChangeIsReal,Pacific Palisades,34.06906147435407,-118.55555897956124,2025-02-03 01:03:14.599325,False,,Fire,True,2,,"Wildfire reported near Temescal Canyon Rd, flames are spreading and require immediate attention to control before reaching residential areas.","['firefighters', 'police', 'ambulance']"
North Sepulveda,Evacuation Warning,"Oh my gosh! 😱 We're visiting LA and there's a HUGE fire near North Sepulveda, like by that big park? They're saying we might need to leave? Evacuation warning?? Where do we even GO?! #Wildfire #Emergency #LosAngeles Help!",North Sepulveda,34.08382910323473,-118.45393317598496,2025-01-23 17:44:59.570015,False,,Fire,True,2,,Tourist in LA reports a large wildfire near North Sepulveda with evacuation warnings and is seeking guidance.,"['firefighters', 'police', 'ambulance']"
Acton,Evacuation Warning,"EVACUATION WARNING in Acton, Los Angeles! 🚨 Flames are getting close to Soledad Canyon Road near the aqueduct! We're packing up now, but the smoke is TERRIBLE. Anyone else getting ready to leave? #Wildfire #ActonFire #Emergency Please be safe everyone!!",Acton,34.468853805493424,-118.12034517342232,2025-01-10 12:32:22.568539,False,,Fire,True,2,,"Evacuation warning issued in Acton, Los Angeles due to approaching wildfire near Soledad Canyon Road with terrible smoke, requiring immediate attention from first responders.","['firefighters', 'police', 'ambulance']"
Sylmar,Evacuation Warning,"Oh dear, there's a fire near the Olive View hospital in Sylmar! 😥 They're saying we might have to leave our homes soon. An evacuation warning, they called it. I don't know what to do with all my cats! 🐈🐈🐈 #Wildfire #Emergency Los Angeles",Sylmar,34.31680186665854,-118.4683945838416,2025-01-09 18:46:48.026238,False,,Fire,True,2,,Wildfire reported near Olive View hospital in Sylmar with evacuation warnings issued for nearby homes.,"['firefighters', 'police', 'ambulance']"
Pacific Palisades,Incident Report,"The fire is so close! Sky is orange and the smoke is intense. Praying for everyone and our homes. Plz be safe! 🙏 #LAFire #Wildfire #StaySafe""",Pacific Palisades,34.04836607307352,-118.54007307307307,2025-02-15 19:58:39.138663,True,video_tweets/2.mp4,Fire,True,2,,"Wildfire reported nearby with intense smoke and orange sky, potentially threatening homes.","['firefighters', 'police', 'ambulance']"
Acton,Incident Report,"Oh my god, there's a HUGE fire near the Acton Metrolink station! 😭 The smoke is so thick, I can barely see! Seems to be moving towards Soledad Canyon Rd. Everyone in Acton, be careful! #Wildfire #Emergency #LosAngeles",Acton,34.4810239772085,-118.21965248500511,2025-01-10 14:45:52.922014,False,,Fire,True,2,,"Large wildfire reported near Acton Metrolink station with thick smoke, moving towards Soledad Canyon Rd, posing immediate threat.","['firefighters', 'police', 'ambulance']"
North Sepulveda,Roadblock or Escape Issue,"Ugh, this is SO not the vibe. 🔥 Wildfire near North Sepulveda, like, totally blocking the road by that overlook spot. Can't even get to In-N-Out! 😭 Anyone know if there's another way around? #Wildfire #LosAngeles #Emergency Maybe I'll just order pizza... but still! 😤",North Sepulveda,34.08654191712261,-118.49694727298107,2025-01-23 18:48:48.685832,False,,Fire,True,3,,Wildfire reported near North Sepulveda blocking the road by the overlook spot.,"['firefighters', 'police']"
North Sepulveda,Request for Emergency Help,"Oh dear, there's a fire near that big hill on North Sepulveda, you know, near where they filmed that movie? 🥺 It's getting close to the houses! Can someone please send the fire trucks? I can't get out! #Wildfire #Emergency Los Angeles",North Sepulveda,34.09729457722204,-118.46197467742782,2025-01-24 05:09:30.950939,False,,Fire,True,1,,"Citizen reports a wildfire near North Sepulveda getting close to houses and requests immediate fire truck assistance, stating they are unable to evacuate.","['firefighters', 'ambulance', 'police']"
Acton,Incident Report,"Ugh, this is SO not lit. 🙄 Huge flames near that weird rock formation thingy off Crown Valley Rd in Acton! Like, seriously, is this the end of the world?? 🔥💨 #Wildfire #Acton #Emergency Someone send help...and maybe pizza. 🍕",Acton,34.46158622857072,-118.20928426744864,2025-01-09 02:34:13.165569,False,,Fire,True,2,,"Report of a wildfire with huge flames near Crown Valley Rd in Acton, requesting help.","['firefighters', 'police', 'ambulance']"
Pacific Palisades,Roadblock or Escape Issue,OMG! Can't get out of the Palisades! Sunset Blvd is blocked off near PCH because of the fire! 😭 Anyone know another way out?! We're trapped! #Wildfire #PacificPalisades #Emergency #LosAngeles,Pacific Palisades,34.06592617682918,-118.558254542062,2025-03-11 12:50:15.181063,False,,Fire,True,1,,People are trapped in Pacific Palisades due to a wildfire blocking Sunset Blvd near PCH and need immediate assistance.,"['firefighters', 'police', 'ambulance']"
Pacific Palisades,Roadblock or Escape Issue,OMG! Trapped on Sunset Blvd in Pacific Palisades! Fire's blocking the road both ways near Temescal Canyon. Can't go anywhere! So much smoke! 😫 #Wildfire #Emergency Someone please send help!,Pacific Palisades,34.07877487808716,-118.51458230075676,2025-02-11 11:00:03.319669,False,,Fire,True,1,,Citizen reports being trapped on Sunset Blvd near Temescal Canyon due to wildfire blocking roads and requests immediate assistance.,"['firefighters', 'police', 'ambulance']"
Pacific Palisades,Request for Emergency Help,URGENT: We are receiving reports of increased fire activity near Palisades Drive in Pacific Palisades. Residents in the area should prepare for potential evacuation. Monitor official channels for updates. #Wildfire #Emergency #LosAngeles,Pacific Palisades,34.04060148268193,-118.54969346300813,2025-02-02 04:02:42.558236,False,,Fire,True,2,,Reports of increased wildfire activity near Palisades Drive in Pacific Palisades suggest potential evacuation is needed.,"['firefighters', 'police', 'ambulance']"
Pacific Palisades,Evacuation Warning,"Alright listen up, Palisades folks. Hearin' whispers of an EVACUATION WARNING near Sunset Blvd and Temescal Canyon. Don't be dummies, pack your stuff NOW. This ain't a drill. #Wildfire #PacificPalisades #Emergency",Pacific Palisades,34.07301565037465,-118.56229467075242,2025-02-18 05:55:47.149205,False,,Fire,True,3,,"Potential evacuation warning issued near Sunset Blvd and Temescal Canyon due to wildfire, residents advised to prepare for evacuation.","['firefighters', 'police', 'ambulance']"
Pacific Palisades,Evacuation Warning,"Evacuation WARNING in Pacific Palisades near Sunset Blvd and Temescal Canyon Rd! ⚠️ Flames are getting closer, can smell the smoke BAD. Packing up now, this is terrifying! Pls be safe everyone! #Wildfire #PacificPalisades #Emergency #LA",Pacific Palisades,34.073059336951,-118.52063474113358,2025-02-06 03:36:36.275865,False,,Fire,True,2,,Wildfire reported in Pacific Palisades near Sunset Blvd and Temescal Canyon Rd with evacuation warnings and nearby flames reported.,"['firefighters', 'police', 'ambulance']"
Altadena/Pasadena,Distress Call,OMG! There's a HUGE wildfire near the Eaton Canyon area in Altadena! I can see flames from my backyard on Allen Ave! It's moving fast towards the houses! Pls send help! We're evacuating now! #Wildfire #Emergency #Altadena #Pasadena,Altadena/Pasadena,34.1983714185345,-118.15857366869837,2025-02-02 11:38:21.066579,False,,Fire,True,1,,"Large wildfire reported near Eaton Canyon, Altadena, with flames visible from Allen Ave moving towards houses, residents are evacuating and requesting immediate help.","['firefighters', 'police', 'ambulance']"
North Sepulveda,Request for Emergency Help,"ARE YOU KIDDING ME?! Another fire?! This time it's near North Sepulveda, like near that stupid park they just built! 🔥😡 The smoke is choking us! Where are the damn firefighters?! We need help NOW! #Wildfire #Emergency #LosAngeles",North Sepulveda,34.08031533976677,-118.49843858550588,2025-01-24 02:54:40.253485,False,,Fire,True,2,,"Citizen reports wildfire near North Sepulveda, experiencing smoke and requesting immediate firefighter assistance.","['firefighters', 'police', 'ambulance']"
Hollywood Hills near Runyon Canyon,Evacuation Warning,"Heads up neighbors in the Hollywood Hills near Runyon Canyon! 🚨 Getting an evacuation WARNING for areas near Mulholland and Fuller! Saw some smoke and embers earlier, now it's lookin' real bad. Pack your go-bags NOW! Stay safe everyone! 🙏 #Wildfire #Emergency #LosAngeles",Hollywood Hills near Runyon Canyon,34.1245700479021,-118.3570592373331,2025-01-09 12:15:50.943809,False,,Fire,True,2,,"Wildfire evacuation warning issued for Hollywood Hills near Runyon Canyon due to smoke and embers, residents advised to pack go-bags.","['firefighters', 'police', 'ambulance']"
Hollywood Hills near Runyon Canyon,Distress Call,Please call 911 for me #LAfires,Hollywood Hills near Runyon Canyon,34.11351266872052,-118.35076176565848,2025-01-09 13:24:45.933685,True,video_tweets/5.mp4,Fire,True,1,,"Tweet is a direct distress call for fire emergency in Los Angeles, requires immediate response.","['firefighters', 'ambulance', 'police']"
Hollywood Hills near Runyon Canyon,Request for Emergency Help,"Oh god oh god! 😭 There's a fire in the Hollywood Hills near Runyon Canyon! I can see smoke and I'm so worried about my kids at their friend's house off Mulholland! Please, is anyone evacuating from there? Are they safe?! #Wildfire #Emergency #LosAngeles PLEASE HELP!",Hollywood Hills near Runyon Canyon,34.10934880832941,-118.36404349350477,2025-01-09 03:26:49.336570,False,,Fire,True,2,,"Citizen reports a fire in Hollywood Hills near Runyon Canyon, expresses concern for children near Mulholland, and requests evacuation information.","['firefighters', 'police', 'ambulance']"
